account_name,fund_code,fund_name,holding_units,cost_basis_cny,market_value_cny,last_verified,included_in_total_nav,parent_account,is_nested,qdii_flag,underlying_market,underlying_currency,code_status,notes
交通银行,008204,交银施罗德稳利A,27520.04,,32614.00,2026-05-18,true,交通银行,false,false,FIXED_INCOME,CNY,VERIFIED,债券型
交通银行,164902,交银信用添利A,60440.95,,71187.35,2026-05-18,true,交通银行,false,false,FIXED_INCOME,CNY,VERIFIED,债券型
交通银行,519718,交银纯债,66486.14,,71598.92,2026-05-18,true,交通银行,false,false,FIXED_INCOME,CNY,VERIFIED,纯债型
交通银行,519723,交银双轮A,58669.86,,62354.33,2026-05-18,true,交通银行,false,false,FIXED_INCOME,CNY,VERIFIED,债券型
交通银行,519738,交银周期回报,27706.41,,36167.95,2026-05-18,true,交通银行,false,false,FIXED_INCOME,CNY,VERIFIED,债券型
交通银行,519752,交银新回报,20882.38,,29385.69,2026-05-18,true,交通银行,false,false,FIXED_INCOME,CNY,VERIFIED,债券型
交通银行,519755,交银多策略,25798.23,,45335.23,2026-05-18,true,交通银行,false,false,FIXED_INCOME,CNY,VERIFIED,债券型
交通银行,519782,交银施罗德裕隆A,47799.41,,68553.91,2026-05-18,true,交通银行,false,false,FIXED_INCOME,CNY,VERIFIED,纯债型
交通银行,005001,交银施罗德持续成长,930.67,,2263.02,2026-05-18,true,交通银行,false,false,A_STOCK,CNY,VERIFIED,A股主动混合
交通银行,519704,交银制造,2728.20,,17587.61,2026-05-18,true,交通银行,false,false,A_STOCK,CNY,VERIFIED,A股行业混合
交通银行,519779,交银沪港深价值精选,1012.30,,1944.63,2026-05-18,true,交通银行,false,false,A_STOCK,CNY,VERIFIED,A股港股混合
招商银行,161005,富国天惠成长混合(LOF)A,127152.4345,447976,409011.24,2026-05-18,true,招商银行,false,false,A_STOCK,CNY,VERIFIED,亏损-8.1% 同时持有于交通银行
招商银行,008592,天弘沪深300指数增强A,227735.1345,350000,359616.55,2026-05-18,true,招商银行,false,false,A_STOCK,CNY,VERIFIED,沪深300增强
招商银行,012895,天弘中证科创创业50ETF联接C,150033.4094,150000,195148.46,2026-05-18,true,招商银行,false,false,A_STOCK,CNY,VERIFIED,科创创业50 当前最强+22.8%
招商银行,002624,广发优企精选灵活配置A,60818.2388,162577,167925.24,2026-05-18,true,招商银行,false,false,A_STOCK,CNY,VERIFIED,A股主动混合
招商银行,008903,广发科技先锋混合,118692.4480,190000,158288.25,2026-05-18,true,招商银行,false,false,A_STOCK,CNY,VERIFIED,亏损-17.8% 同时持有于交通银行
中信银行,000594,摩根士丹利进取优选股票型,24904.5276,100000,73841.92,2026-05-18,true,中信银行,false,false,A_STOCK,CNY,VERIFIED,A股主动 亏损-24.1%
中信银行,MANUAL_ANYING,安盈象固收稳健日开29号A,,570000,579806,2026-05-10,true,中信银行,false,false,FIXED_INCOME,CNY,MANUAL_ONLY,银行理财产品非公募基金 手动维护
DBS_China,MANUAL_BLACKROCK,贝莱德全球基金-环球资产配置(美元),,644738,654679,2026-05-10,true,DBS_China,false,true,GLOBAL_MULTI,USD,MANUAL_ONLY,境外基金QDUTBR1RU 手动维护
DBS_China,MANUAL_JPMASIA,摩根亚太入息基金(美元),,1054025,1128629,2026-05-10,true,DBS_China,false,true,ASIA_PACIFIC,USD,MANUAL_ONLY,境外基金QDUTJM12RU 手动维护
